id,name,image_url,url,rating,price,display_phone,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.city,location.zip_code,location.country,location.state
uZaT6J821lHMFrfrFno7lg,Herban Fix - Vegan Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/iRjr59drQOT-_QjVysIT1Q/o.jpg,https://www.yelp.com/biz/herban-fix-vegan-kitchen-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$$,(404) 815-8787,33.7700811335769,-84.3849544543691,565-A Peachtree St NE,,Atlanta,30308,US,GA
7lghBEn9pRjL7HuoOo-OZA,Cafe Sunflower Buckhead,https://s3-media2.fl.yelpcdn.com/bphoto/KA24vraS1pvk5fcTajTucA/o.jpg,https://www.yelp.com/biz/cafe-sunflower-buckhead-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$$,(404) 352-8859,33.8126175864874,-84.3932511177215,2140 Peachtree Rd,Ste 105,Atlanta,30309,US,GA
bAybZImsqUwinMrzZlzVIQ,True Food Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/n0Oc5P7fgXrVOlRxyGsC3A/o.jpg,https://www.yelp.com/biz/true-food-kitchen-atlanta-8?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.0,$$,(404) 481-2980,33.847652,-84.363745,3393 Peachtree Rd NE,,Atlanta,30326,US,GA
fxEOPETtJgUX4nRorh3A1A,Local Green Atlanta,https://s3-media3.fl.yelpcdn.com/bphoto/phQJ7Lo7mYDPOo794v1jRw/o.jpg,https://www.yelp.com/biz/local-green-atlanta-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$$,(404) 549-9364,33.7552985682324,-84.4173952868731,19 Joseph E Lowery Blvd NW,,Atlanta,30314,US,GA
TW_8Pa8SMr3paZ55vgGfZw,Veggie Busters,https://s3-media2.fl.yelpcdn.com/bphoto/uwK39dPEcyk5LL_URtfkhQ/o.jpg,https://www.yelp.com/biz/veggie-busters-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.0,$$,(404) 941-9431,33.731874,-84.567246,5495 Cascade Rd,,Atlanta,30336,US,GA
BSUDAiXd50PAkfFAztVpDw,Aviva by Kameel - Atlanta,https://s3-media3.fl.yelpcdn.com/bphoto/_x61pM4WZiji4d2jq1GnYw/o.jpg,https://www.yelp.com/biz/aviva-by-kameel-atlanta-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,5.0,$$,(404) 698-3600,33.7605381455292,-84.3865554648041,225 Peachtree St NE,Ste B-30,Atlanta,30303,US,GA
uAlGALAF33HhWG1_D3nb7w,Green Sprout,https://s3-media4.fl.yelpcdn.com/bphoto/ZgCC1T9yojeiNQPrUvEP-A/o.jpg,https://www.yelp.com/biz/green-sprout-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.0,$$,(404) 874-7373,33.79593,-84.369,1529 Piedmont Ave NE,Ste D,Atlanta,30324,US,GA
Qb9cp70aBi9XosT9Pm097w,Bole Ethiopian Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/e22hbKzIAQa7iJVrwAMlhg/o.jpg,https://www.yelp.com/biz/bole-ethiopian-restaurant-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$$,(404) 549-9111,33.6594751,-84.4408562,1583 Virginia Ave,,Atlanta,30337,US,GA
L-N2DXeYfCmhaMb6TdAWNA,Harmony Vegetarian Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/hEi1TRYnGnqYMhMWI_dghQ/o.jpg,https://www.yelp.com/biz/harmony-vegetarian-restaurant-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.0,$$,(770) 457-7288,33.884632,-84.287716,4897 Buford Hwy,Ste 109,Atlanta,30341,US,GA
8t_SUCB414vy_b8vqObNGg,KarmaFarm,https://s3-media2.fl.yelpcdn.com/bphoto/bwpF1YH9fQqTcPGrUkz1QA/o.jpg,https://www.yelp.com/biz/karmafarm-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$$,(404) 812-0477,33.815334,-84.390599,2277 Peachtree Rd,Ste B,Atlanta,30309,US,GA
